t_storage,short_description,device_name,intance_attachment_point,volume_size,volume_type,IOPS,encrypted,delete_on_termination,instance,entry_status,create_date,create_by,update_date,update_by
1,vol-0401d707094cd25ef,sda,/dev/sda1,8369418240,gp2,100,No,Yes,i-092d4d734970aa2ce,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
2,vol-08e12c4285178e02a,sdb,/dev/sdb,21474836480,gp3,3000,No,Yes,i-092d4d734970aa2ce,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
3,vol-040b9932a41ede282,sdc,/dev/sdc,21474836480,gp3,3000,No,Yes,i-092d4d734970aa2ce,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4,vol-092d9ffa4912f3321,sdd,/dev/sdd,21474836480,gp3,3000,No,Yes,i-092d4d734970aa2ce,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
5,vol-0a81c8400511ab00a,sde,/dev/sde,21474836480,gp3,3000,No,Yes,i-092d4d734970aa2ce,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
6,vol-0945365058744bef6,sdf,/dev/sdf,21474836480,gp3,3000,No,Yes,i-092d4d734970aa2ce,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
