c_Pais,Descripcion,code,Formato de codigo postal,Formato de Registro de Identidad Tributaria,Validacion del Registro de Identidad Tributaria,Agrupaciones,entry_status,create_date,create_by,update_date,update_by
61,Emiratos Arabes Unidos (Los),ARE,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
62,Eritrea,ERI,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
63,Eslovaquia,SVK,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
64,Eslovenia,SVN,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
65,Espana,ESP,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
66,Estados Unidos (los),USA,[0-9]{5}(-[0-9]{4})?,[0-9]{9},,TLCAN,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
67,Estonia,EST,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
68,Etiopia,ETH,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
69,Filipinas (las),PHL,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
70,Finlandia,FIN,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
71,Fiyi,FJI,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
72,Francia,FRA,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
73,Gabon,GAB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
74,Gambia (La),GMB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
75,Georgia,GEO,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
76,Ghana,GHA,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
77,Gibraltar,GIB,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
78,Granada,GRD,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
79,Grecia,GRC,,,,Union Europea,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
80,Groenlandia,GRL,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
81,Guadalupe,GLP,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
82,Guam,GUM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
83,Guatemala,GTM,,,,,0,01/01/2023 00:00,2309150001,01/01/2023 00:00,2309150001
