c_ClaveUnidad,Nombre,Descripción,Nota,Fecha de inicio de vigencia,Fecha de fin de vigencia,Símbolo,entry_status,create_date,create_by,update_date,update_by
DRL,Docena de rodillos,"Unidad de recuento de definir el número de rollos, expresado en doce unidades de rodillos.",,01/01/2022,,,,,,,
DRM,Drachm (UK),,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
DS,monitor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
DT,Tonelada seca,"Unidad de masa que define el número de toneladas de un producto, sin tener en cuenta el contenido de agua del producto.",,01/01/2022,,,,,,,
DTN,Decitonelada métrica,"Sinónimo: centner, métrico 100 kg; Quintal, métrico 100 kg",,01/01/2022,,dt or dtn,,,,,
DU,dina,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,01/01/2022,,Dyn,,,,,
DWT,Pennyweight,"La unidad obsoleta pennyweight era Unidad de masa utilizada en el Reino Unido antes de 1971. Se consideraba equivalente a la masa de un penique, y equivale a la 1/240 parte de una libra troy. Se abrevia pwt.",,01/01/2022,,,,,,,
Dx,Dina por centímetro,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,01/01/2022,,Dyn / cm,,,,,
DY,Libro de directorio,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
DZN,Docena,Unidad de recuento de definir el número de unidades en múltiplos de 12.,,01/01/2022,,DOZ,,,,,
DZP,Docena de paquete,Unidad de conteo que define el número de paquetes en múltiplos de 12 (paquete: unidad de embalaje estándar).,,01/01/2022,,,,,,,
E01,Newton por centímetro cuadrado,Medida de la presión expresada en newtons por centímetro cuadrado,,01/01/2022,,N/cm²,,,,,
E07,Megawatt hora por hora,Unidad de energía acumulado de un millón de vatios durante un período de una hora.,,01/01/2022,,MW·h/h,,,,,
E08,Megavatios por hertz,Unidad de energía expresada como el cambio de carga en millones de watts que provocará un desplazamiento de frecuencia de un hertz.,,01/01/2022,,MW/Hz,,,,,
E09,Miliamperio hora,Unidad de carga de potencia entregada a razón de una milésima parte de un amperio durante un período de una hora.,,01/01/2022,,mA·h,,,,,
E10,Día de grado,Unidad de medida utilizada en la meteorología y la ingeniería para medir la demanda de calentamiento o enfriamiento durante un período determinado de días.,,01/01/2022,,deg da,,,,,
E11,Gigacalorie,Una unidad de energía térmica equivalente a mil millones de calorías.,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,01/01/2022,,,,,,,
E12,Mille,Unidad de recuento de definir el número de cigarrillos en unidades de 1.000.,,01/01/2022,,,,,,,
E14,Kilocaloría (tabla internacional),,,01/01/2022,,kcalIT,,,,,
E15,Kilocaloría (termoquímica) por hora,,,01/01/2022,,kcalth/h,,,,,
E16,Millón de btu (ti) por hora,Unidad de potencia igual a un millón de unidades térmicas británicas por hora.,,01/01/2022,,BtuIT/h,,,,,
E17,Pie cúbico por segundo,Unidad de volumen igual a un pie cúbico pasa por un punto dado en un periodo de un segundo.,,01/01/2022,,ft³/s,,,,,
E18,Tonelada por hora,Una unidad de peso o masa equivalente a una tonelada métrica por hora.,,01/01/2022,,t/h,,,,,
E19,Ping,"Unidad de área equivalente a 3,3 metros cuadrados.",,01/01/2022,,,,,,,
E20,Megabit por segundo,Unidad de información igual a 10 ?  (1000000) bits (dígitos binarios) por segundo.,,01/01/2022,,Mbit/s,,,,,
E21,Shares,Unidad de recuento para definir el número de acciones (proporción: un total o una parte de las partes en que se divide el capital de una entidad comercial).,,01/01/2022,,,,,,,
E22,Tue,Unidad de recuento para definir el número de unidades equivalentes a veinte pies (TEU) como una medida de la capacidad de carga en contenedores.,,01/01/2022,,,,,,,
E23,Neumático,"Unidad de recuento de definir el número de neumáticos (una cubierta sólida o llena de aire colocado alrededor de una llanta de rueda para formar un contacto suave con la carretera, absorber los golpes y proporcionar tracción).",,01/01/2022,,,,,,,
E25,Unidad activa,Unidad de conteo que define el número de unidades activas dentro de una sustancia.,,01/01/2022,,,,,,,
E27,Dosis,Unidad de recuento de definir el número de dosis (dosis: una cantidad definida de un medicamento o fármaco).,,01/01/2022,,,,,,,
E28,Tonelada seca de aire,"Unidad de masa que define el número de toneladas de un producto, sin tener en cuenta el contenido de agua del producto.",,01/01/2022,,,,,,,
E3,remolque,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
E30,Hebra,"Unidad de recuento de definir el número de hebras (hebra: de largo,, flexible, solo hilo delgado, tiras de fibra, filamento constituyente o múltiplos de la misma, trenzados entre sí).",,01/01/2022,,,,,,,
E31,Metro cuadrado por litro,Unidad de recuento de definir el número de metros cuadrados por litro.,,01/01/2022,,m²/l,,,,,
E32,Litros por hora,Unidad de recuento de definir el número de litros por hora.,,01/01/2022,,l/h,,,,,
E33,Por mil pies,Unidad de recuento de definir el número de pies por mil unidades.,,01/01/2022,,,,,,,
E34,Gigabyte,Unidad de información igual a 10? bytes.,,01/01/2022,,Gbyte,,,,,
E35,Terabyte,Unidad de información igual a 10¹² bytes.,,01/01/2022,,Tbyte,,,,,
E36,Petabyte,Unidad de información igual a 10¹? bytes.,,01/01/2022,,Pbyte,,,,,
E37,Pixel,Unidad de recuento de definir el número de píxeles (píxel: elemento de imagen).,,01/01/2022,,,,,,,
E38,Megapíxeles,Unidad de recuento igual a 10 $ ? $ (1000000) píxeles (elementos de imagen).,,01/01/2022,,,,,,,
E39,Puntos por pulgada,Unidad de información que define el número de puntos por pulgada lineal como una medida de la resolución o nitidez de una imagen gráfica.,,01/01/2022,,dpi,,,,,
E4,Kilo bruto,Unidad de masa que define el número total de kilogramos antes de las deducciones.,,01/01/2022,,,,,,,
E40,Parte por cien mil,Unidad de proporción igual a 10??.,,01/01/2022,,ppht,,,,,
E41,Kilogramo-fuerza por milímetro cuadrado,,,01/01/2022,,kgf·m/cm²,,,,,
E42,Kilogramo-fuerza por centímetro cuadrado,,,01/01/2022,,kgf/cm²,,,,,
E43,Joule por centímetro cuadrado,Una unidad de energía que define el número de julios por centímetro cuadrado.,,01/01/2022,,J/cm²,,,,,
E44,Metros kilogramo-fuerza por centímetro cuadrado,Unidad de torsión que define el medidor de par kilogramo-fuerza por centímetro cuadrado.,,01/01/2022,,kgf·m/cm²,,,,,
E45,MiliOhm,,,01/01/2022,,m?,,,,,
E46,Kilovatio hora por metro cúbico,Unidad de consumo de energía expresada como kilovatio hora por metro cúbico.,,01/01/2022,,kW·h/m³,,,,,
E47,Kilovatio hora por kelvin,Unidad de consumo de energía expresada como kilovatio hora por kelvin.,,01/01/2022,,kW·h/K,,,,,
E48,Unidad de servicio,Unidad de conteo que define el número de unidades de servicio (unidad de servicio: definido período / propiedad / centro / utilidad de alimentación).,,01/01/2022,,,,,,,
E49,Día de trabajo,Unidad de recuento de definir el número de días de trabajo (jornada de trabajo: un día en el que se lleva a cabo normalmente un trabajo).,,01/01/2022,,,,,,,
E5,Tonelada métrica larga,Utilice ton (UK) o tonelada larga (US) (código común LTN),"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
E50,Unidad de cuenta,Unidad de recuento de definir el número de unidades de contabilidad.,,01/01/2022,,,,,,,
E51,Trabajo,Unidad de recuento de definir el número de puestos de trabajo.,,01/01/2022,,,,,,,
E52,Run foot,Unidad de conteo para definir la distancia (en la unidad Pie) que se dan en una carrera).,,01/01/2022,,,,,,,
E53,Prueba,Unidad de recuento de definir el número de pruebas.,,01/01/2022,,,,,,,
E54,Viaje,Unidad de recuento de definir el número de viajes.,,01/01/2022,,,,,,,
E55,Utilizar,Unidad de recuento de definir el número de veces que se utiliza un objeto.,,01/01/2022,,,,,,,
E56,Bien,Unidad de recuento para definir el número de pozos.,,01/01/2022,,,,,,,
E57,Zona,Unidad de conteo que define el número de zonas.,,01/01/2022,,,,,,,
E58,Exabit por segundo,Unidad de información igual a 10¹? bits (dígitos binarios) por segundo.,,01/01/2022,,Ebit/s,,,,,
E59,Exbibyte,Unidad de información igual a 2?? bytes.,,01/01/2022,,Eibyte,,,,,
E60,Pebibyte,Unidad de información igual a 2?? bytes.,,01/01/2022,,Pibyte,,,,,
E61,Tebibyte,Unidad de información igual a 2?? bytes.,,01/01/2022,,Tibyte,,,,,
E62,Gibibyte,Unidad de información igual a 2³? bytes.,,01/01/2022,,Gibyte,,,,,
E63,Mebibyte,Unidad de información igual a 2²? bytes.,,01/01/2022,,Mibyte,,,,,
E64,Kibibyte,Unidad de información igual a 2¹? bytes.,,01/01/2022,,Kibyte,,,,,
E65,Exbibit por metro,Unidad de información igual a 2?? bits (dígitos binarios) por metro.,,01/01/2022,,Eibit/m,,,,,
E66,Exbibit por metro cuadrado,Unidad de información igual a 2?? bits (dígitos binarios) por metro cuadrado.,,01/01/2022,,Eibit/m²,,,,,
E67,Exbibit por metro cúbico,Unidad de información igual a 2?? bits (dígitos binarios) por metro cúbico.,,01/01/2022,,Eibit/m³,,,,,
E68,Gigabyte por segundo,Unidad de información igual a 10? bytes por segundo.,,01/01/2022,,Gbyte/s,,,,,
E69,Gibibit por metro,Unidad de información igual a 2³? bits (dígitos binarios) por metro.,,01/01/2022,,Gibit/m,,,,,
E70,Gibibit por metro cuadrado,Unidad de información igual a 2³? bits (dígitos binarios) por metro cuadrado.,,01/01/2022,,Gibit/m²,,,,,
E71,Gibibit por metro cúbico,Unidad de información igual a 2³? bits (dígitos binarios) por metro cúbico.,,01/01/2022,,Gibit/m³,,,,,
E72,Kibibit por metro,Unidad de información igual a 2¹? bits (dígitos binarios) por metro.,,01/01/2022,,Kibit/m,,,,,
E73,Kibibit por metro cuadrado,Unidad de información igual a 2¹? bits (dígitos binarios) por metro cuadrado.,,01/01/2022,,Kibit/m²,,,,,
E74,Kikibit por metro cúbico., Unidad de información igual a 2¹? bits (dígitos binarios) por metro cúbico.,,01/01/2022,,Kibit/m³,,,,,
E75,Mebbit por metro., Unidad de información igual a 2²? bits (dígitos binarios) por metro.,,01/01/2022,,Mibit/m,,,,,
E76,Mebbitt por metro cuadrado., Unidad de información igual a 2²? bits (dígitos binarios) por metro cuadrado.,,01/01/2022,,Mibit/m²,,,,,
E77,Mebbit por metro cúbico. , Unidad de información igual a 2²? bits (dígitos binarios) por metro cúbico.,,01/01/2022,,Mibit/m³,,,,,
E78,Petabit, Unidad de información igual a 10¹? los bits (dígitos binarios).,,01/01/2022,,Pbit,,,,,
E79,Pebibit por segundo., Unidad de información igual a 10¹? bits (dígitos binarios) por segundo.,,01/01/2022,,Pbit/s,,,,,
E80,Pebibit por metro.,Unidad de información igual a 2?? bits (dígitos binarios) por metro.,,01/01/2022,,Pibit/m,,,,,
E81,Pebibit por metro cuadrado., Unidad de información igual a 2?? bits (dígitos binarios) por metro cuadrado.,,01/01/2022,,Pibit/m²,,,,,
E82,Pebibit por metro cúbico., Unidad de información igual a 2?? bits (dígitos binarios) por metro cúbico.,,01/01/2022,,Pibit/m³,,,,,
E83,Tebibit., Unidad de información igual a 10¹² los bits (dígitos binarios).,,01/01/2022,,Tbit,,,,,
E84,Tebibit por segundo, Unidad de información igual a 10¹² bits (dígitos binarios) por segundo.,,01/01/2022,,Tbit/s,,,,,
E85,Tebibit por metro., Unidad de información igual a 2?? bits (dígitos binarios) por metro.,,01/01/2022,,Tibit/m,,,,,
E86,Tebibit por metro cúbico., Unidad de información igual a 2?? bits (dígitos binarios) por metro cúbico.,,01/01/2022,,Tibit/m³,,,,,
E87,Tebibit por metro cuadrado, Unidad de información igual a 2?? bits (dígitos binarios) por metro cuadrado.,,01/01/2022,,Tibit/m²,,,,,
E88,Bit por metro,Unidad de información igual a 1 bit (dígito binario) por metro.,,01/01/2022,,bit/m,,,,,
E89,Bit por metro cuadrado, Unidad de información igual a 1 bit (dígito binario) por metro cuadrado.,,01/01/2022,,bit/m²,,,,,
E90,Centímetro recíproco,,,01/01/2022,,cm?¹,,,,,
E91,Día recíproco,,,01/01/2022,,d?¹,,,,,
E92,Decímetro cúbico por hora,,,01/01/2022,,dm³/h,,,,,
E93,Kilogramo por hora,,,01/01/2022,,kg/h,,,,,
E94,KiloMol por segundo,,,01/01/2022,,kmol/s,,,,,
E95,Mol por segundo,,,01/01/2022,,mol/s,,,,,
E96,Grado por segundo,,,01/01/2022,,°/s,,,,,
E97,Mililitro por gadro celsius metro,,,01/01/2022,,mm/(°C·m),,,,,
E98,Grado celsius por kelvin,,,01/01/2022,,°C/K,,,,,
E99,Hectopascal por bar,,,01/01/2022,,hPa/bar,,,,,
EA,Elemento,Unidad de conteo que define el número de elementos considerados como unidades separadas.,,01/01/2022,,,,,,,
EB,Casilla de correo electrónico,Es el destino al que correo electrónico se entregan los mensajes. Es el equivalente de un buzón en el sistema postal.,,01/01/2022,,,,,,,
EP,Paquete de once,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
EQ,Galón equivalente,Unidad de volumen que define el número de galones de producto producido a partir de concentrado.,,01/01/2022,,,,,,,
F01,Bit por metro cúbico,Unidad de información igual a 1 bit (dígito binario) por metro cúbico.,,01/01/2022,,bit/m³,,,,,
F02,Kelvin por kelvin,,,01/01/2022,,K/K,,,,,
F03,Kilopascal por bar,,,01/01/2022,,kPa/bar,,,,,
F04,Milibar por bar,,,01/01/2022,,mbar/bar,,,,,
F05,Megapascal por bar,,,01/01/2022,,MPa/bar,,,,,
F06,Poise por bar,,,01/01/2022,,P/bar,,,,,
F07,Pascal por bar,,,01/01/2022,,Pa/bar,,,,,
F08,Miliamperio por pulgada,,,01/01/2022,,mA/in,,,,,
F1,Mil pies cúbicos por día,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
F10,Kelvin por hora,,,01/01/2022,,K/h,,,,,
F11,Kelvin por minuto,,,01/01/2022,,K/min,,,,,
F12,Kelvin por segundo,,,01/01/2022,,K/s,,,,,
F13,Slug,Una unidad de masa. Un slug es la masa acelerada a 1 pie por segundo por segundo por una fuerza de 1 libra.,,01/01/2022,,slug,,,,,
F14,Gramo por kelvin,,,01/01/2022,,g/K,,,,,
F15,Kilogramo por kelvin,,,01/01/2022,,kg/K,,,,,
F16,Miligramo por kelvin,,,01/01/2022,,mg/K,,,,,
F17,Libra fuerza por pie,,,01/01/2022,,lbf/ft,,,,,
F18,Kilogramo centímetro cuadrado,,,01/01/2022,,kg·cm²,,,,,
F19,Kilogramo milimetro cuadrado,,,01/01/2022,,kg·mm²,,,,,
F20,Libra pulgada cuadrada,,,01/01/2022,,lb·in²,,,,,
F21,Libra fuerza pulgada,,,01/01/2022,,lbf·in,,,,,
F22,Libra fuerza por pie entre amperio,,,01/01/2022,,lbf·ft/A,,,,,
F23,Gramo por decímetro cúbico,,,01/01/2022,,g/dm³,,,,,
F24,Kilogramo por kiloMol,,,01/01/2022,,kg/kmol,,,,,
F25,Gramo por hertz,,,01/01/2022,,g/Hz,,,,,
F26,Gramo por día,,,01/01/2022,,g/d,,,,,
F27,Gramo por hora,,,01/01/2022,,g/h,,,,,
F28,Gramo por minuto,,,01/01/2022,,g/min,,,,,
F29,Gramo por segundo,,,01/01/2022,,g/s,,,,,
F30,Kilogramo por día,,,01/01/2022,,kg/d,,,,,
F31,Kilogramo por minuto,,,01/01/2022,,kg/min,,,,,
F32,Miligramo por dia,,,01/01/2022,,mg/d,,,,,
F33,Miligramo por minuto,,,01/01/2022,,mg/min,,,,,
F34,Miligramo por segundo,,,01/01/2022,,mg/s,,,,,
F35,Gramo por día kelvin,,,01/01/2022,,g/(d·K),,,,,
F36,Gramo por hora kelvin,,,01/01/2022,,g/(h·K),,,,,
F37,Gramo por minuto kelvin,,,01/01/2022,,g/(min·K),,,,,
F38,Gramo por segundo kelvin,,,01/01/2022,,g/(s·K),,,,,
F39,Kilogramo por día kelvin,,,01/01/2022,,kg/(d·K),,,,,
F40,Kilogramo por hora kelvin,,,01/01/2022,,kg/(h·K),,,,,
F41,Kilogramo por minuto kelvin,,,01/01/2022,,kg/(min·K),,,,,
F42,Kilogramo por segundo kelvin,,,01/01/2022,,kg/(s·K),,,,,
F43,Miligramo por día kelvin,,,01/01/2022,,mg/(d·K),,,,,
F44,Miligramo por hora kelvin,,,01/01/2022,,mg/(h·K),,,,,
F45,Miligramo por minuto kelvin,,,01/01/2022,,mg/(min·K),,,,,
F46,Miligramo por segundo kelvin,,,01/01/2022,,mg/(s·K),,,,,
F47,Newton por milímetro,,,01/01/2022,,N/mm,,,,,
F48,Libra fuerza por pulgada,,,01/01/2022,,lbf/in,,,,,
F49,Rod (Unidad de distancia),Unidad de distancia equivalente a 5.5 yardas (16 pies 6 pulgadas),,01/01/2022,,rd (US),,,,,
F50,Micrómetro por kelvin,,,01/01/2022,,µm/K,,,,,
F51,Centímetro por kelvin,,,01/01/2022,,cm/K,,,,,
F52,Metro por kelvin,,,01/01/2022,,m/K,,,,,
F53,Mililitro por kelvin,,,01/01/2022,,mm/K,,,,,
F54,MiliOhm por metro,,,01/01/2022,,m?/m,,,,,
F55,Ohm por milla (milla estatal),,,01/01/2022,,?/mi,,,,,
F56,Ohm por kilómetro,,,01/01/2022,,?/km,,,,,
F57,Miliamperio por libra-fuerza por pulgada cuadrada,,,01/01/2022,,mA/(lbf/in²),,,,,
F58,Bar recíproco,,,01/01/2022,,1/bar,,,,,
F59,Miliamperio por bar,,,01/01/2022,,mA/bar,,,,,
F60,Grado celsius por bar,,,01/01/2022,,°C/bar,,,,,
F61,Kelvin por bar,,,01/01/2022,,K/bar,,,,,
F62,Gramo por día bar,,,01/01/2022,,g/(d·bar),,,,,
F63,Gramo por hora bar,,,01/01/2022,,g/(h·bar),,,,,
F64,Gramo por minuto bar,,,01/01/2022,,g/(min·bar),,,,,
F65,Gramo por segundo bar,,,01/01/2022,,g/(s·bar),,,,,
F66,Kililogramo por día bar,,,01/01/2022,,kg/(d·bar),,,,,
F67,Kilogramo por hora bar,,,01/01/2022,,kg/(h·bar),,,,,
F68,Kilogramo por minuto bar,,,01/01/2022,,kg/(min·bar),,,,,
F69,Kilogramo por segundo bar,,,01/01/2022,,kg/(s·bar),,,,,
F70,Miligramo por día bar,,,01/01/2022,,mg/(d·bar),,,,,
F71,Miligramo por hora bar,,,01/01/2022,,mg/(h·bar),,,,,
F72,Miligramo por minuto bar,,,01/01/2022,,mg/(min·bar),,,,,
F73,Miligramo por segundo bar,,,01/01/2022,,mg/(s·bar),,,,,
F74,Gramo por bar,,,01/01/2022,,g/bar,,,,,
F75,Miligramo por bar,,,01/01/2022,,mg/bar,,,,,
F76,Miliamperio por milímetro,,,01/01/2022,,mA/mm,,,,,
F77,Pascal segundo por kelvin,,,01/01/2022,,Pa.s/K,,,,,
F78,Pulgada de agua,,,01/01/2022,,inH?O,,,,,
F79,Pulgada de mercurio,,,01/01/2022,,inHg,,,,,
F80,Caballos de fuerza de agua,Define la cantidad de potencia requerida para mover un volumen dado de agua contra la aceleración de la gravedad a una elevación especificada (cabezal de presión).,,01/01/2022,,,,,,,
F81,Bar por kelvin,,,01/01/2022,,bar/K,,,,,
F82,Hectopascal por kelvin,,,01/01/2022,,hPa/K,,,,,
F83,Kilopascal por kelvin,,,01/01/2022,,kPa/K,,,,,
F84,Milibar por kelvin,,,01/01/2022,,mbar/K,,,,,
F85,Megapascal por kelvin,,,01/01/2022,,MPa/K,,,,,
F86,Poise por kelvin,,,01/01/2022,,P/K,,,,,
F87,Voltio por litro minuto,,,01/01/2022,,V/(l·min),,,,,
F88,Newton centímetro,,,01/01/2022,,N·cm,,,,,
F89,Newton metro por grados,,,01/01/2022,,Nm/°,,,,,
F9,Fibra por centímetro cúbico de aire,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
F90,Newton metro por amperio,,,01/01/2022,,N·m/A,,,,,
F91,Bar litro por segundo,,,01/01/2022,,bar·l/s,,,,,
F92,Bar metro cúbico por segundo,,,01/01/2022,,bar·m³/s,,,,,
F93,Hectopascal litro por segundo,,,01/01/2022,,hPa·l/s,,,,,
F94,Hectopascal metro cúbico por segundo,,,01/01/2022,,hPa·m³/s,,,,,
F95,Milibar litro por segundo,,,01/01/2022,,mbar·l/s,,,,,
F96,Milibar metro cúbico por segundo,,,01/01/2022,,mbar·m³/s,,,,,
F97,Megapascal litro por segundo,,,01/01/2022,,MPa·l/s,,,,,
F98,Megapascal metro cúbico por segundo,,,01/01/2022,,MPa·m³/s,,,,,
F99,Pascal litro por segundo,,,01/01/2022,,Pa·l/s,,,,,
FAH,Grado fahrenheit,Consulte ISO 80000-5 (Cantidades y unidades - Parte 5: Termodinámica),,01/01/2022,,°F,,,,,
FAR,Farad,"Es la capacidad de un condensador eléctrico que entre sus armaduras aparece una diferencia de potencial eléctrico de 1 volt, cuando está cargado con una cantidad de electricidad igual a 1 coulomb. ",,01/01/2022,,F,,,,,
FB,campo,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
FBM,Medidor de fibra,Unidad de longitud que define el número de metros de fibra individual.,,01/01/2022,,,,,,,
FC,Mil pies cúbicos,Unidad de volumen igual a mil pies cúbicos.,,01/01/2022,,kft³,,,,,
FD,Millones de partículas por pie cúbico,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
FE,Pie de pista,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
FF,Cien metros cúbicos,Unidad de volumen igual a cien metros cúbicos.,,01/01/2022,,,,,,,
FG,Parche transdérmico,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,,,,,,
FH,MicroMol,,,01/01/2022,,µmol,,,,,
FIT,Fallas en el tiempo,Unidad de conteo que define el número de fallos que se pueden esperar en un intervalo de tiempo especificado. Las tasas de fallo de los componentes semiconductores se especifican a menudo como FIT (fallas en la unidad de tiempo) donde 1 FIT = 10?? / h.,,01/01/2022,,FIT,,,,,
FL,Flake ton,Unidad de masa que define el número de toneladas de una sustancia en copos (escamas: un pequeño fragmento plano).,,01/01/2022,,,,,,,
FM,Millones de pies cúbicos,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",01/01/2022,,Mft³,,,,,
FOT,Pie,"Unidad de medida empleada por aeronautas, equivale a 30.48 cm",,01/01/2022,,ft,,,,,
FP,Libra por pie cuadrado,,,01/01/2022,,lb/ft²,,,,,
FR,Pie por minuto,,,01/01/2022,,ft/min,,,,,
FS,Pie por segundo,,,01/01/2022,,ft/s,,,,,
FTK,Pie cuadrado," Es una unidad de superficie del sistema anglosajón de unidades, equivalente a un cuadrado de un pie de lado.",,01/01/2022,,ft²,,,,,
FTQ,Pie cúbico,,,01/01/2022,,ft³,,,,,
G01,Pascal metro cúbico por segundo,,,01/01/2022,,Pa·m³/s,,,,,
G04,Centímetro por bar,,,01/01/2022,,cm/bar,,,,,
G05,Metro por bar ,,,01/01/2022,,m/bar,,,,,
G06,Milímetro por bar ,,,01/01/2022,,mm/bar,,,,,
G08,Pulgada cuadrada por segundo,,,01/01/2022,,in²/s,,,,,
G09,Metro cuadrado por segundo kelvin,,,01/01/2022,,m²/(s·K),,,,,
G10,Stokes por kelvin,,,01/01/2022,,St/K,,,,,
G11,Gramo por centímetro cúbico bar,,,01/01/2022,,g/(cm³·bar),,,,,
G12,Gramo por decímetro cúbico bar,,,01/01/2022,,g/(dm³·bar),,,,,
G13,Gramo por litro bar,,,01/01/2022,,g/(l·bar),,,,,
G14,Gramo por metro cúbico bar,,,01/01/2022,,g/(m³·bar),,,,,
G15,Gramo por mililitro bar,,,01/01/2022,,g/(ml·bar),,,,,
G16,Kilogramo por centímetro cúbico bar,,,01/01/2022,,kg/(cm³·bar),,,,,
G17,Kilogramo por litro bar,,,01/01/2022,,kg/(l·bar),,,,,
G18,Kilogramo por metro cúbico bar,,,01/01/2022,,kg/(m³·bar),,,,,
G19,Newton metro por kilogramo,,,01/01/2022,,N·m/kg,,,,,
G2,Galón (EUA) por minuto,,,01/01/2022,,gal (US) /min,,,,,
G20,Libra-fuerza pie por libra,,,01/01/2022,,lbf·ft/lb,,,,,
G21,Taza (unidad de volumen),,,01/01/2022,,cup (US),,,,,
G23,Peck,Es una unidad de medida imperial y habitual en  Estados Unidos de volumen seco.,,01/01/2022,,pk (US),,,,,
G24,Cucharada (estados unidos),"1/2 onzas fluidas, 3 cucharaditas, 15 mililitros",,01/01/2022,,tablespoon (US),,,,,
G25,Cucharilla (estados unidos),1/6 onzas fluidas o 5 mililitros,,01/01/2022,,teaspoon (US),,,,,
G26,Estere,,,01/01/2022,,st,,,,,
G27,Centímetro cúbico por kelvin,,,01/01/2022,,cm³/K,,,,,
G28,Litro por kelvin,,,01/01/2022,,l/K,,,,,
G29,Metro cúbico por kelvin,,,01/01/2022,,m³/K,,,,,
G3,Galón (RU) por minuto,,,01/01/2022,,gal (UK) /min,,,,,
G30,Mililitro por klevin,,,01/01/2022,,ml/K,,,,,
G31,Kilogramo por centímetro cúbico,,,01/01/2022,,kg/cm³,,,,,
G32,Onza (avoirdupois) por yarda cúbica,,,01/01/2022,,oz/yd³,,,,,
G33,Gramo por centímetro cúbico kelvin,,,01/01/2022,,g/(cm³·K),,,,,
G34,Gramo por decímetro cúbico kelvin,,,01/01/2022,,g/(dm³·K),,,,,
G35,Gramo por litro kelvin,,,01/01/2022,,g/(l·K),,,,,
G36,Gramo por metro cúbico kelvin,,,01/01/2022,,g/(m³·K),,,,,
G37,Gramo por mililitro kelvin,,,01/01/2022,,g/(ml·K),,,,,
G38,Kilogramo por centímetro cúbico kelvin,,,01/01/2022,,kg/(cm³·K),,,,,
G39,Kilogramo por litro kelvin,,,01/01/2022,,kg/(l·K),,,,,
G40,Kilogramo por metro cúbico kelvin,,,01/01/2022,,kg/(m³·K),,,,,
G41,Metro cuadrado por segundo bar,,,01/01/2022,,m²/(s·bar),,,,,
G42,Microsiemens por centímetro,,,01/01/2022,,µS/cm,,,,,
G43,Microsiemens por metro,,,01/01/2022,,µS/m,,,,,
G44,Nanosiemens por centímetro,,,01/01/2022,,nS/cm,,,,,
G45,Nanosiemens por metro,,,01/01/2022,,nS/m,,,,,
G46,Stokes por bar,,,01/01/2022,,St/bar,,,,,
