t_region,region_name,entry_status,create_date,create_by,update_date,update_by
1,Africa,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
2,Americas,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
3,Asia,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4,Europe,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
5,Oceania,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
6,Polar,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
