t_service,short_description,long_description,entry_status,create_date,create_by,update_date,update_by
1,Web Hosting,"Los planes de Web Hosting posicionan a su sitio dentro de uno o mas servidores. Los recursos se comparten entre varios clientes en el mismo servidor, sin embargo, a su sitio se le otorga una direccion unica (DNS).",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
2,Hosting empresarial,"Con los planes de Hosting administrado, obtendra todos los beneficios de tener su propio VPS o Servidor dedicado, pero administraremos el servidor por usted, incluso la configuracion de su panel de control, los ciclos de parcheado y las copias de seguridad",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
3,Hosting de WordPress Administrado,"Los planes de Hosting de WordPress administrado le ofrecen una experiencia moderna y optimizada para crear y administrar sitios WordPress. Nos encargamos de las tareas administrativas basicas de hosting, entre ellas: la instalacion de WordPress, las copias de respaldo diarias automaticas, las actualizaciones principales de WordPress y cache a nivel del servidor",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4,Servidor privado virtual,"Los planes VPS posicionan su sitio dentro de un servidor compartido con otros clientes, pero tendra el control total sobre su espacio de servidor y la configuracion completa de su instancia virtual en el servidor. Tendra acceso de administrador (raiz) y una direccion IP dedicada",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
5,Servidor dedicado,"Los planes de Servidor dedicado reservan un servidor completo exclusivamente para su cuenta y uso. Tendra los derechos exclusivos para el ancho de banda de su servidor, la memoria y el espacio de almacenamiento, y el rendimiento de su servidor no resultara afectado por el trafico y los patrones de uso de otros clientes",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
6,Asistencia tecnica administrada,"Los planes de Asistencia tecnica administrada son planes de suscripcion mensual que le brindan acceso raiz/administrativo al servicio y Plesk o cPanel. Manejamos la aplicacion de parches, seguridad, monitoreo y copias de respaldo principales. Por una tarifa adicional se pueden realizar mas configuraciones e instalaciones",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
7,Asistencia tecnica completamente administrada,"Los planes de Asistencia tecnica completamente administrada son planes de suscripcion mensual que le brindan la opcion de habilitar el acceso raiz/administrativo y nosotros manejaremos la aplicacion de parche, seguridad, monitoreo y copias de respaldo principales. Con la suscripcion se incluyen Servicios de Expertos adicionales",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
8,Servicios de asistencia tecnica de expertos para Hosting Premium,"Los Servicios de asistencia tecnica/Expertos para Hosting Premium (Servicios de Expertos) son servicios adicionales de asistencia tecnica personalizada disponibles por una tarifa fija. Estos Servicios de Expertos pueden proporcionar asistencia si usted necesita un administrador de servidor experimentado para tareas complicadas, entre ellas: optimizar las bases de datos, configurar los cortafuegos o mover los contenidos.",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
9,Respaldo del Hosting,"El respaldo y los planes del hosting guardan todos los archivos de su sitio web en la nube una vez por dia. Es posible que haya limites de almacenamiento en base al plan de respaldo que compraste. Estos servicios de respaldo y restauracion estan disponibles con los planes de hosting de sitios web y por una tarifa adicional pueden estar disponibles con nuestros otros planes de servicio de hosting. Para los servicios de respaldo de hosting disponibles como parte de un plan de suscripcion de Hosting, estos servicios se cancelaran si el plan de suscripcion de Hosting se cancela.",0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
