t_order,t_login,t_product,registered_domain,Fecha inicio de vigencia,Fecha fin de vigencia,entry_status,create_date,create_by,update_date,update_by
0000000001,2309150001,WH10GB12,creativeering.com,01/01/2022 00:00,31/12/2022 00:00,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
0000000002,2309150001,WH10GB12,avilesworks.com,01/01/2022 00:00,31/12/2022 00:00,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
0000000003,2309150001,WH10GB12,tecnotools.shop,01/01/2022 00:00,31/12/2022 00:00,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
0000000004,2309150001,WH10GB12,enriquealvarezherrera.com,01/01/2022 00:00,31/12/2022 00:00,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
0000000005,2309150001,WH10GB12,aplika-t.com,05/01/2022 00:00,31/12/2022 00:00,0,01/09/2023 00:00,2309150001,01/09/2023 00:00,2309150001
