c_moneda,short_description,long_description,CURRENCY_SYMBOL,Decimales,Porcentaje variacion,Fecha inicio de vigencia,Fecha fin de vigencia,entry_status,create_date,create_by,update_date,update_by
162,XBB,Unidad Monetaria de Bonos de Mercados Unidad Europea (UEM-6),$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
163,XBC,Mercados de Bonos Unidad Europea unidad de cuenta a 9 (UCE-9),$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
164,XBD,Mercados de Bonos Unidad Europea unidad de cuenta a 17 (UCE-17),$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
165,XCD,Dolar del Caribe Oriental,$,2,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
166,XDR,DEG (Derechos Especiales de Giro),$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
167,XOF,Franco CFA BCEAO,$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
168,XPD,Paladio,$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
169,XPF,Franco CFP,$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
170,XPT,Platino,$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
171,XSU,Sucre,$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
172,XTS,Codigos reservados especificamente para propositos de prueba,$,0,,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
173,XUA,Unidad ADB de Cuenta,$,0,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
174,XXX,Los codigos asignados para las transacciones en que intervenga ninguna moneda,$,0,,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
175,YER,Rial yemeni,$,2,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
176,ZAR,Rand,$,2,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
177,ZMW,Kwacha zambiano,$,2,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
178,ZWL,Zimbabwe Dolar,$,2,500%,2023-01-01 00:00:00,2025-01-01 00:00:00,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
