t_workorder,description,t_product,registered_domain,t_partition,Fecha inicio de vigencia,Fecha fin de vigencia,workorder_flag,entry_status,create_date,create_by,update_date,update_by
1,20230901-001,8,creativeering.com,xvda1,2023-01-01 00:00:00,2024-01-01 00:00:00,1,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
2,20230901-002,8,avilesworks.com,xvda1,2023-01-01 00:00:00,2024-01-01 00:00:00,1,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
3,20230901-003,8,tecnotools.shop,xvda1,2023-01-01 00:00:00,2024-01-01 00:00:00,1,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4,20230902-001,8,enriquealvarezherrera.com,xvda1,2023-01-01 00:00:00,2024-01-01 00:00:00,1,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
5,20230902-002,8,aplika-t.com,xvda1,2023-01-01 00:00:00,2024-01-01 00:00:00,1,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
