t_state,state_name,country_id,country_code,country_name,region_name,state_code,type,latitude,longitude,entry_status,create_date,create_by,update_date,update_by
629,Berat District,3,AL,Albania,Europe,BR,,40.7086377,19.9437314,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
607,BulqizÃ« District,3,AL,Albania,Europe,BU,,41.4942587,20.2147157,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
618,DelvinÃ« District,3,AL,Albania,Europe,DL,,39.9481364,20.0955891,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
608,Devoll District,3,AL,Albania,Europe,DV,,40.6447347,20.9506636,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
610,DibÃ«r County,3,AL,Albania,Europe,9,,41.5888163,20.2355647,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
605,DibÃ«r District,3,AL,Albania,Europe,DI,,41.5888163,20.2355647,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
632,DurrÃ«s County,3,AL,Albania,Europe,2,,41.5080972,19.6163185,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
639,DurrÃ«s District,3,AL,Albania,Europe,DR,,41.3706517,19.5211063,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
598,Elbasan County,3,AL,Albania,Europe,3,,41.1266672,20.2355647,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
631,Fier County,3,AL,Albania,Europe,4,,40.9191392,19.6639309,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
627,Fier District,3,AL,Albania,Europe,FR,,40.727504,19.5627596,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
604,GjirokastÃ«r County,3,AL,Albania,Europe,5,,40.0672874,20.1045229,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
621,GjirokastÃ«r District,3,AL,Albania,Europe,GJ,,40.0672874,20.1045229,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
617,Gramsh District,3,AL,Albania,Europe,GR,,40.8669873,20.1849323,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
600,Has District,3,AL,Albania,Europe,HA,,42.7901336,-83.6122012,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
594,KavajÃ« District,3,AL,Albania,Europe,KA,,41.1844529,19.5627596,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
628,KolonjÃ« District,3,AL,Albania,Europe,ER,,40.3373262,20.6794676,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
630,KorÃ§Ã« County,3,AL,Albania,Europe,6,,40.590567,20.6168921,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
597,KorÃ§Ã« District,3,AL,Albania,Europe,KO,,40.590567,20.6168921,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
614,KrujÃ« District,3,AL,Albania,Europe,KR,,41.5094765,19.7710732,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
612,KuÃ§ovÃ« District,3,AL,Albania,Europe,KC,,40.7837063,19.8782348,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
601,KukÃ«s County,3,AL,Albania,Europe,7,,42.0807464,20.4142923,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
623,KukÃ«s District,3,AL,Albania,Europe,KU,,42.0807464,20.4142923,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
622,Kurbin District,3,AL,Albania,Europe,KB,,41.6412644,19.705595,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
609,LezhÃ« County,3,AL,Albania,Europe,8,,41.7813759,19.8067916,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
595,LezhÃ« District,3,AL,Albania,Europe,LE,,41.786073,19.6460758,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
596,Librazhd District,3,AL,Albania,Europe,LB,,41.1829232,20.3174769,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
599,LushnjÃ« District,3,AL,Albania,Europe,LU,,40.941983,19.6996428,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
602,MalÃ«si e Madhe District,3,AL,Albania,Europe,MM,,42.4245173,19.6163185,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
637,MallakastÃ«r District,3,AL,Albania,Europe,MK,,40.5273376,19.7829791,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
635,Mat District,3,AL,Albania,Europe,MT,,41.5937675,19.9973244,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
638,MirditÃ« District,3,AL,Albania,Europe,MR,,41.764286,19.9020509,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
619,Peqin District,3,AL,Albania,Europe,PQ,,41.0470902,19.7502384,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
625,PÃ«rmet District,3,AL,Albania,Europe,PR,,40.2361837,20.3517334,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
606,Pogradec District,3,AL,Albania,Europe,PG,,40.9015314,20.6556289,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
620,PukÃ« District,3,AL,Albania,Europe,PU,,42.0469772,19.8960968,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
624,SarandÃ« District,3,AL,Albania,Europe,SR,,39.8592119,20.0271001,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
611,ShkodÃ«r County,3,AL,Albania,Europe,10,,42.150371,19.6639309,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
626,ShkodÃ«r District,3,AL,Albania,Europe,SH,,42.0692985,19.5032559,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
593,Skrapar District,3,AL,Albania,Europe,SK,,40.5349946,20.2832217,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
616,TepelenÃ« District,3,AL,Albania,Europe,TE,,40.2966632,20.0181673,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
615,Tirana County,3,AL,Albania,Europe,11,,41.2427598,19.8067916,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
633,Tirana District,3,AL,Albania,Europe,TR,,41.3275459,19.8186982,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
636,TropojÃ« District,3,AL,Albania,Europe,TP,,42.3982151,20.1625955,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
634,VlorÃ« County,3,AL,Albania,Europe,12,,40.150096,19.8067916,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
613,VlorÃ« District,3,AL,Albania,Europe,VL,,40.4660668,19.491356,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1118,Adrar,4,DZ,Algeria,Africa,1,,26.418131,-0.6014717,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1119,AÃ¯n Defla,4,DZ,Algeria,Africa,44,,36.2509429,1.9393815,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1122,AÃ¯n TÃ©mouchent,4,DZ,Algeria,Africa,46,,35.2992698,-1.1392792,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1144,Algiers,4,DZ,Algeria,Africa,16,,36.6997294,3.0576199,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1103,Annaba,4,DZ,Algeria,Africa,23,,36.8020508,7.5247243,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1142,Batna,4,DZ,Algeria,Africa,5,,35.5965954,5.8987139,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1108,BÃ©char,4,DZ,Algeria,Africa,8,,31.6238098,-2.2162443,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1128,BÃ©jaÃ¯a,4,DZ,Algeria,Africa,6,,36.7515258,5.0556837,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4909,BÃ©ni AbbÃ¨s,4,DZ,Algeria,Africa,53,,30.0831042,-2.8345052,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1114,Biskra,4,DZ,Algeria,Africa,7,,34.8449437,5.7248567,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1111,Blida,4,DZ,Algeria,Africa,9,,36.531123,2.8976254,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4908,Bordj Baji Mokhtar,4,DZ,Algeria,Africa,52,,22.966335,-3.9472732,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1116,Bordj Bou ArrÃ©ridj,4,DZ,Algeria,Africa,34,,36.0739925,4.7630271,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1104,BouÃ¯ra,4,DZ,Algeria,Africa,10,,36.3691846,3.9006194,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1125,BoumerdÃ¨s,4,DZ,Algeria,Africa,35,,36.6839559,3.6217802,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1105,Chlef,4,DZ,Algeria,Africa,2,,36.1693515,1.2891036,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1121,Constantine,4,DZ,Algeria,Africa,25,,36.3373911,6.663812,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4912,Djanet,4,DZ,Algeria,Africa,56,,23.8310872,8.7004672,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1098,Djelfa,4,DZ,Algeria,Africa,17,,34.6703956,3.2503761,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1129,El Bayadh,4,DZ,Algeria,Africa,32,,32.7148824,0.9056623,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4905,El M'ghair,4,DZ,Algeria,Africa,49,,33.9540561,5.1346418,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4906,El Menia,4,DZ,Algeria,Africa,50,,31.364225,2.5784495,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1099,El Oued,4,DZ,Algeria,Africa,39,,33.367811,6.8516511,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1100,El Tarf,4,DZ,Algeria,Africa,36,,36.7576678,8.3076343,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1127,GhardaÃ¯a,4,DZ,Algeria,Africa,47,,32.4943741,3.64446,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1137,Guelma,4,DZ,Algeria,Africa,24,,36.4627444,7.4330833,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1112,Illizi,4,DZ,Algeria,Africa,33,,26.1690005,8.4842465,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4914,In Guezzam,4,DZ,Algeria,Africa,58,,20.3864323,4.7789394,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4913,In Salah,4,DZ,Algeria,Africa,57,,27.2149229,1.8484396,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1113,Jijel,4,DZ,Algeria,Africa,18,,36.7179681,5.9832577,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1126,Khenchela,4,DZ,Algeria,Africa,40,,35.4269404,7.1460155,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1138,Laghouat,4,DZ,Algeria,Africa,3,,33.8078341,2.8628294,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1134,M'Sila,4,DZ,Algeria,Africa,28,,35.7186646,4.5233423,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1124,Mascara,4,DZ,Algeria,Africa,29,,35.3904125,0.1494988,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1109,MÃ©dÃ©a,4,DZ,Algeria,Africa,26,,36.2637078,2.7587857,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1132,Mila,4,DZ,Algeria,Africa,43,,36.3647957,6.1526985,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1140,Mostaganem,4,DZ,Algeria,Africa,27,,35.9583054,0.3371889,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1102,Naama,4,DZ,Algeria,Africa,45,,33.2667317,-0.3128659,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1101,Oran,4,DZ,Algeria,Africa,31,,35.6082351,-0.563609,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1139,Ouargla,4,DZ,Algeria,Africa,30,,32.2264863,5.7299821,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4907,Ouled Djellal,4,DZ,Algeria,Africa,51,,34.4178221,4.9685843,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1136,Oum El Bouaghi,4,DZ,Algeria,Africa,4,,35.8688789,7.1108266,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1130,Relizane,4,DZ,Algeria,Africa,48,,35.7383405,0.7532809,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1123,SaÃ¯da,4,DZ,Algeria,Africa,20,,34.8415207,0.1456055,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1141,SÃ©tif,4,DZ,Algeria,Africa,19,,36.3073389,5.5617279,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
4902,Sidi Bel AbbÃ¨s,4,DZ,Algeria,Africa,22,,34.6806024,-1.0999495,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
1110,Skikda,4,DZ,Algeria,Africa,21,,36.6721198,6.8350999,0,2023-01-01 00:00:00,2309150001,2023-01-01 00:00:00,2309150001
